"filename", "language", "Python", "JSON", "comment", "blank", "total"
"d:\PyGames\OpenFarm\assetloader.py", "Python", 33, 0, 0, 3, 36
"d:\PyGames\OpenFarm\audio.py", "Python", 62, 0, 0, 14, 76
"d:\PyGames\OpenFarm\data\audio.json", "JSON", 0, 1, 0, 0, 1
"d:\PyGames\OpenFarm\easy_visualizer.py", "Python", 33, 0, 2, 11, 46
"d:\PyGames\OpenFarm\main.py", "Python", 20, 0, 0, 3, 23
"d:\PyGames\OpenFarm\settings.py", "Python", 39, 0, 4, 9, 52
"d:\PyGames\OpenFarm\spritesheet.py", "Python", 20, 0, 0, 6, 26
"d:\PyGames\OpenFarm\support.py", "Python", 140, 0, 5, 27, 172
"d:\PyGames\OpenFarm\world\generic.py", "Python", 77, 0, 0, 15, 92
"d:\PyGames\OpenFarm\world\house.py", "Python", 126, 0, 1, 13, 140
"d:\PyGames\OpenFarm\world\player.py", "Python", 139, 0, 0, 24, 163
"d:\PyGames\OpenFarm\world\soil.py", "Python", 82, 0, 6, 20, 108
"d:\PyGames\OpenFarm\world\sprites.py", "Python", 99, 0, 0, 19, 118
"d:\PyGames\OpenFarm\world\transition.py", "Python", 51, 0, 4, 6, 61
"d:\PyGames\OpenFarm\world\world.py", "Python", 59, 0, 0, 11, 70
"d:\PyGames\OpenFarm\world\zone.py", "Python", 217, 0, 0, 30, 247
"Total", "-", 1197, 1, 22, 211, 1431
